episodeID, SubjectID
EID137,"[SUB8,SUB14,SUB15,SUB16,SUB17,SUB27,SUB33,SUB38,SUB42,SUB53,SUB59,SUB60]"
EID138,"[SUB3,SUB12,SUB14,SUB17,SUB52,SUB56,SUB59,SUB60,SUB66]"
EID139,"[SUB4,SUB14,SUB41,SUB50,SUB57,SUB63]"
EID140,"[SUB14,SUB15,SUB33,SUB52,SUB59,SUB60,SUB62]"
EID141,"[SUB3,SUB14,SUB16,SUB17,SUB22,SUB33,SUB44,SUB56,SUB59,SUB60]"
EID142,"[SUB8,SUB17,SUB28,SUB49,SUB50,SUB59,SUB60]"
EID143,"[SUB9,SUB17,SUB26,SUB28,SUB56,SUB57,SUB59]"
EID144,"[SUB8,SUB14,SUB15,SUB16,SUB38,SUB39,SUB49,SUB50,SUB53,SUB59,SUB60]"
EID145,"[SUB14,SUB15,SUB16,SUB17,SUB28,SUB33,SUB38,SUB50,SUB59,SUB60]"
EID146,"[SUB8,SUB17,SUB44,SUB49,SUB59,SUB60]"
EID147,"[SUB4,SUB14,SUB16,SUB40,SUB41,SUB50,SUB63]"
EID148,"[SUB8,SUB9,SUB12,SUB14,SUB15,SUB17,SUB28,SUB33,SUB38,SUB39,SUB56,SUB59,SUB60]"
EID149,"[SUB8,SUB14,SUB15,SUB16,SUB17,SUB28,SUB38,SUB49,SUB53,SUB59,SUB60]"
EID150,"[SUB15,SUB28,SUB49,SUB59,SUB60,SUB62]"
EID151,"[SUB4,SUB12,SUB14,SUB41,SUB43,SUB63]"
EID152,"[SUB8,SUB14,SUB15,SUB17,SUB28,SUB38,SUB49,SUB53,SUB59,SUB60]"
EID153,"[SUB8,SUB15,SUB28,SUB38,SUB49,SUB53,SUB59,SUB60]"
EID154,"[SUB8,SUB14,SUB15,SUB16,SUB17,SUB27,SUB28,SUB38,SUB39,SUB42,SUB49,SUB57,SUB59,SUB60]"
EID155,"[SUB15,SUB38,SUB39,SUB49,SUB52,SUB53,SUB59,SUB60,SUB66]"
EID156,"[SUB8,SUB17,SUB28,SUB32,SUB33,SUB59,SUB60]"
EID157,"[SUB8,SUB9,SUB14,SUB15,SUB33,SUB38,SUB39,SUB52,SUB53,SUB56,SUB59,SUB60,SUB66]"
EID158,"[SUB12,SUB14,SUB17,SUB27,SUB28,SUB38,SUB42,SUB49,SUB59,SUB60]"
EID159,"[SUB8,SUB9,SUB12,SUB14,SUB15,SUB17,SUB49,SUB50,SUB56,SUB59,SUB60]"
EID160,"[SUB14,SUB17,SUB28,SUB38,SUB39,SUB49,SUB50,SUB59,SUB60]"
EID161,"[SUB17,SUB28,SUB49,SUB59,SUB60]"
EID162,"[SUB14,SUB15,SUB16,SUB44,SUB49,SUB59,SUB60]"
EID163,"[SUB14,SUB15,SUB16,SUB28,SUB38,SUB39,SUB49,SUB53,SUB59,SUB60]"
EID164,"[SUB8,SUB17,SUB33,SUB59,SUB60]"
